ORDER ID,ORDER DATE,SHIP DATE,SHIP MODE,CUSTOMER NAME,SEGMENT,STATE,COUNTRY,MARKET,REGION,PRODUCT ID,CATEGORY,SUB CATEGROY,PRODUCT NAME,SALES,QUANTITY,DISCOUNT,PROFIT,SHIPPING COST,ORDER PRIORITY
ES-2014-2774938,1/1/2014,3/1/2014,Second Class,Fred Harton,Consumer,Ile-de-France,France,EU,Central,TEC-MA-10001777,Technology,Machines,"Okidata Printer, Red",677,3,0.15,-111.6225,104.69,High
IN-2014-47134,1/1/2014,5/1/2014,Standard Class,Kean Nguyen,Corporate,Victoria,Australia,APAC,Oceania,TEC-MA-10002134,Technology,Machines,"Konica Inkjet, Wireless",846,3,0.1,46.998,46.2,Medium
IT-2014-4810734,1/1/2014,3/1/2014,Second Class,Alan Shonely,Consumer,Ile-de-France,France,EU,Central,TEC-PH-10002586,Technology,Phones,"Nokia Office Telephone, with Caller ID",332,6,0.15,-43.137,37.85,Critical
US-2014-105830,1/1/2014,3/1/2014,First Class,Duane Benoit,Consumer,Ohio,United States,US,East,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,157,4,0.2,-35.2152,30.66,High
CA-2014-160395,1/1/2014,7/1/2014,Standard Class,Kelly Lampkin,Corporate,Nevada,United States,US,West,OFF-BI-10003984,Office Supplies,Binders,Lock-Up Easel 'Spel-Binder',160,7,0.2,53.9217,26.9,Low
CA-2014-100202,1/1/2014,6/1/2014,Standard Class,Brian DeCherney,Consumer,California,United States,US,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302,3,0.2,22.6782,24.99,Medium
AG-2014-2040,1/1/2014,6/1/2014,Standard Class,Craig Reiter,Consumer,Alger,Algeria,Africa,Africa,FUR-RUB-10003004,Furniture,Furnishings,"Rubbermaid Frame, Durable",107,1,0,26.73,16.77,High
IN-2014-47134,1/1/2014,5/1/2014,Standard Class,Kean Nguyen,Corporate,Victoria,Australia,APAC,Oceania,OFF-EN-10002035,Office Supplies,Envelopes,"Kraft Mailers, Set of 50",203,6,0.1,13.41,16.61,Medium
ES-2014-2283801,1/1/2014,5/1/2014,Second Class,Guy Phonely,Corporate,Rhône-Alpes,France,EU,Central,OFF-AR-10002681,Office Supplies,Art,"Stanley Canvas, Fluorescent",152,3,0,48.69,16.32,Medium
RO-2014-340,1/1/2014,4/1/2014,First Class,Laurel Workman,Corporate,Braila,Romania,EMEA,EMEA,OFF-STA-10004108,Office Supplies,Art,"Stanley Canvas, Easy-Erase",99,2,0,23.82,13.2,High
PL-2014-150,1/1/2014,5/1/2014,Standard Class,Doug O'Connell,Consumer,Pomerania,Poland,EMEA,EMEA,OFF-CAM-10000497,Office Supplies,Envelopes,"Cameo Manila Envelope, Set of 50",54,2,0,4.86,9.38,High
IR-2014-420,1/1/2014,3/1/2014,First Class,Claire Gute,Consumer,Esfahan,Iran,EMEA,EMEA,OFF-HON-10004698,Office Supplies,Labels,"Hon File Folder Labels, Laser Printer Compatible",35,4,0,4.08,7.44,High
CG-2014-920,1/1/2014,2/1/2014,First Class,Edward Nazzal,Consumer,Kinshasa,Democratic Republic of the Congo,Africa,Africa,OFF-KLE-10001644,Office Supplies,Supplies,"Kleencut Trimmer, Steel",41,1,0,6.51,6.72,High
CA-2014-156139,1/1/2014,7/1/2014,Standard Class,Becky Pak,Consumer,California,United States,US,West,OFF-BI-10004233,Office Supplies,Binders,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",38,3,0.2,13.4316,5.89,Low
ES-2014-4158324,1/1/2014,8/1/2014,Standard Class,Brad Norvell,Corporate,Campania,Italy,EU,South,OFF-ST-10001255,Office Supplies,Storage,"Fellowes Trays, Single Width",138,4,0.4,22.968,5.82,Medium
IN-2014-48758,1/1/2014,5/1/2014,Standard Class,Greg Matthias,Consumer,Zhejiang,China,APAC,North Asia,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",40,3,0,8.73,5.62,High
ES-2014-4158324,1/1/2014,8/1/2014,Standard Class,Brad Norvell,Corporate,Campania,Italy,EU,South,OFF-SU-10000171,Office Supplies,Supplies,"Elite Trimmer, Easy Grip",43,1,0,20.34,2.75,Medium
AG-2014-2360,1/1/2014,6/1/2014,Standard Class,Jeremy Ellison,Consumer,Mostaganem,Algeria,Africa,Africa,OFF-CAM-10003933,Office Supplies,Envelopes,"Cameo Business Envelopes, Recycled",19,1,0,2.1,2.75,High
ES-2014-2283801,1/1/2014,5/1/2014,Second Class,Guy Phonely,Corporate,Rhône-Alpes,France,EU,Central,OFF-BI-10001833,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",51,7,0,15.75,2.56,Medium
ES-2014-2774938,1/1/2014,3/1/2014,Second Class,Fred Harton,Consumer,Ile-de-France,France,EU,Central,OFF-AR-10003658,Office Supplies,Art,"Boston Markers, Water Color",30,1,0,0,1.96,High
US-2014-165953,1/1/2014,7/1/2014,Standard Class,Emily Phan,Consumer,Florida,United States,US,South,OFF-AR-10000588,Office Supplies,Art,Newell 345,48,3,0.2,3.5712,1.73,Medium
US-2014-165953,1/1/2014,7/1/2014,Standard Class,Emily Phan,Consumer,Florida,United States,US,South,OFF-PA-10002250,Office Supplies,Paper,Things To Do Today Pad,23,5,0.2,8.218,1.55,Medium
ES-2014-2774938,1/1/2014,3/1/2014,Second Class,Fred Harton,Consumer,Ile-de-France,France,EU,Central,OFF-LA-10003132,Office Supplies,Labels,"Smead Round Labels, Laser Printer Compatible",14,2,0,4.92,1.25,High
CA-2014-160395,1/1/2014,7/1/2014,Standard Class,Kelly Lampkin,Corporate,Nevada,United States,US,West,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",4,2,0,1.638,0.46,Low
ID-2014-81938,2/1/2014,3/1/2014,First Class,Barry Pond,Corporate,Auckland,New Zealand,APAC,Oceania,TEC-AC-10003262,Technology,Accessories,"Belkin Router, Erganomic",308,2,0.4,-118.068,56.19,Medium
SU-2014-3390,2/1/2014,6/1/2014,Standard Class,Janet Martin,Consumer,Red Sea,Sudan,Africa,Africa,TEC-SAM-10003493,Technology,Phones,"Samsung Signal Booster, VoIP",547,4,0,185.88,41.63,Medium
CA-2014-144463,2/1/2014,6/1/2014,Standard Class,Steven Cartwright,Consumer,California,United States,US,West,FUR-FU-10001215,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",474,11,0,199.2606,27.8,Medium
SU-2014-3390,2/1/2014,6/1/2014,Standard Class,Janet Martin,Consumer,Red Sea,Sudan,Africa,Africa,OFF-ELD-10001477,Office Supplies,Storage,"Eldon Lockers, Single Width",396,2,0,193.98,25.4,Medium
ID-2014-81938,2/1/2014,3/1/2014,First Class,Barry Pond,Corporate,Auckland,New Zealand,APAC,Oceania,OFF-SU-10001087,Office Supplies,Supplies,"Elite Shears, Easy Grip",117,4,0.4,-54.528,24.81,Medium
MX-2014-164266,2/1/2014,8/1/2014,Standard Class,Brad Norvell,Corporate,San Salvador,El Salvador,LATAM,Central,TEC-CO-10001221,Technology,Copiers,"Brother Fax and Copier, Laser",382,3,0.002,41.35404,24.4,Medium
CA-2014-151750,2/1/2014,6/1/2014,Standard Class,Janet Martin,Consumer,Texas,United States,US,Central,FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,311,4,0.3,-26.6352,13.73,Medium
IN-2014-26470,2/1/2014,6/1/2014,Standard Class,Keith Herrera,Consumer,Yunnan,China,APAC,North Asia,TEC-MA-10003632,Technology,Machines,"Epson Calculator, Wireless",139,3,0,68.22,11.64,Medium
CA-2014-151750,2/1/2014,6/1/2014,Standard Class,Janet Martin,Consumer,Texas,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,455,5,0.2,-107.958,8.89,Medium
CA-2014-151750,2/1/2014,6/1/2014,Standard Class,Janet Martin,Consumer,Texas,United States,US,Central,FUR-FU-10002116,Furniture,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",141,5,0.6,-187.3815,8.12,Medium
IN-2014-25007,2/1/2014,8/1/2014,Standard Class,Bobby Elias,Consumer,Aomori,Japan,APAC,North Asia,OFF-EN-10003231,Office Supplies,Envelopes,"Jiffy Business Envelopes, Set of 50",59,3,0,11.07,8.02,Low
ID-2014-81938,2/1/2014,3/1/2014,First Class,Barry Pond,Corporate,Auckland,New Zealand,APAC,Oceania,OFF-ST-10000022,Office Supplies,Storage,"Eldon Folders, Industrial",84,8,0.4,-51.792,7.8,Medium
